DateTime,Time,Currency,Importance,Event,Actual,Forecast,Previous
2015/12/31 02:00:00,02:00,ZAR,Low,M3 Money Supply (YoY) (Nov),9.35%,9.13%,9.74%
2015/12/31 02:00:00,02:00,ZAR,Low,Private Sector Credit (Nov),9.53%,8.31%,8.87%
2015/12/31 04:30:00,04:30,HKD,Low,M3 Money Supply (Nov),10.9%,,10.2%
2015/12/31 05:30:00,05:30,GBP,Low,Housing Equity Withdrawal (QoQ),-8.8B,-10.5B,-10.9B
2015/12/31 06:00:00,06:00,RUB,Medium,CPI (YoY) (Dec),12.9%,13.0%,15.0%
2015/12/31 06:00:00,06:00,RUB,Medium,CPI (MoM) (Dec),0.8%,0.9%,0.8%
2015/12/31 06:30:00,06:30,INR,Low,Federal Fiscal Deficit (Nov),"4,835.23B",,"4,112.46B"
2015/12/31 06:30:00,06:30,INR,Low,Infrastructure Output (YoY),-1.3%,,3.2%
2015/12/31 08:00:00,08:00,RUB,Low,Central Bank reserves (USD),370.2B,,368.9B
2015/12/31 09:30:00,09:30,USD,Medium,Continuing Jobless Claims,"2,198K","2,201K","2,195K"
2015/12/31 09:30:00,09:30,USD,High,Initial Jobless Claims,287K,270K,267K
2015/12/31 09:30:00,09:30,USD,Low,Jobless Claims 4-Week Avg.,277.00K,,272.50K
2015/12/31 10:45:00,10:45,USD,High,Chicago PMI (Dec),42.9,49.8,48.7
2015/12/31 10:50:00,10:50,USD,Low,Bloomberg Consumer Confidence,43.6,,42.2
2015/12/31 11:30:00,11:30,USD,Low,Natural Gas Storage,-58B,-57B,-32B
2015/12/31 14:00:00,14:00,USD,Medium,U.S. Baker Hughes Oil Rig Count,536,,538
2015/12/31 20:00:00,20:00,KRW,Low,Exports (YoY) (Dec),-13.8%,-10.9%,-4.8%
2015/12/31 20:00:00,20:00,KRW,Low,Imports (YoY) (Dec),-19.2%,-18.6%,-17.6%
2015/12/31 20:00:00,20:00,KRW,Low,Trade Balance (Dec),7.20B,8.82B,10.30B
2015/12/31 21:00:00,21:00,CNY,High,Manufacturing PMI (Dec),49.7,49.7,49.6
2015/12/31 21:00:00,21:00,CNY,Medium,Non-Manufacturing PMI (Dec),54.4,,53.6
2016/01/03 14:15:00,14:15,USD,Medium,FOMC Member Stanley Fischer Speaks,,,
2016/01/03 18:30:00,18:30,USD,Medium,FOMC Member Mester Speaks,,,
2016/01/03 18:30:00,18:30,AUD,Low,AIG Manufacturing Index (Dec),51.9,,52.5
2016/01/03 20:00:00,20:00,SGD,Low,GDP (QoQ) (Q4),5.7%,1.7%,1.7%
2016/01/03 20:00:00,20:00,SGD,Low,GDP (YoY) (Q4),2.0%,1.3%,1.8%
2016/01/03 20:30:00,20:30,SGD,Low,URA Property Index (QoQ) (Q4),-0.50%,,-1.30%
2016/01/03 21:40:00,21:40,KRW,Low,S&P Global South Korea Manufacturing PMI (Dec),50.7,,49.1
2016/01/04 01:30:00,01:30,AUD,Low,Commodity Prices (YoY),-23.3%,,-21.8%
2016/01/04 04:30:00,04:30,CHF,Medium,procure.ch Manufacturing PMI (Dec),52.1,50.2,48.7
2016/01/04 04:30:00,04:30,HKD,Low,Retail Sales (YoY) (Nov),-7.8%,-6.4%,-3.0%
2016/01/04 05:30:00,05:30,GBP,Low,BoE Consumer Credit (Nov),1.476B,1.300B,1.207B
2016/01/04 05:30:00,05:30,GBP,Low,M4 Money Supply (MoM) (Nov),0.4%,0.5%,0.6%
2016/01/04 05:30:00,05:30,GBP,Low,Mortgage Approvals (Nov),70.41K,69.65K,69.87K
2016/01/04 05:30:00,05:30,GBP,Low,Mortgage Lending (Nov),3.90B,3.70B,3.60B
2016/01/04 05:30:00,05:30,GBP,Low,Net Lending to Individuals,5.3B,4.9B,4.8B
2016/01/04 09:00:00,09:00,EUR,Medium,German CPI (YoY) (Dec),0.3%,0.6%,0.4%
2016/01/04 09:00:00,09:00,EUR,High,German CPI (MoM) (Dec),-0.1%,0.2%,0.1%
2016/01/04 09:00:00,09:00,EUR,Low,German HICP (MoM) (Dec),0.0%,0.2%,0.1%
2016/01/04 09:00:00,09:00,EUR,Low,German HICP (YoY) (Dec),0.2%,0.4%,0.3%
2016/01/04 09:00:00,09:00,SGD,Low,S&P Global Manufacturing PMI (Dec),49.5,,49.2
2016/01/04 10:00:00,10:00,EUR,Low,French 12-Month BTF Auction,-0.385%,,-0.314%
2016/01/04 10:00:00,10:00,EUR,Low,French 3-Month BTF Auction,-0.437%,,-0.328%
2016/01/04 10:00:00,10:00,EUR,Low,French 6-Month BTF Auction,-0.397%,,-0.317%
2016/01/04 11:00:00,11:00,USD,Medium,Construction Spending (MoM) (Nov),-0.4%,0.6%,0.3%
2016/01/04 11:00:00,11:00,USD,Medium,ISM Manufacturing Employment (Dec),48.1,49.7,51.3
2016/01/04 11:00:00,11:00,USD,Low,ISM Manufacturing New Orders Index (Dec),49.2,,48.9
2016/01/04 11:00:00,11:00,USD,High,ISM Manufacturing PMI (Dec),48.2,49.0,48.6
2016/01/04 11:00:00,11:00,USD,High,ISM Manufacturing Prices (Dec),33.5,35.0,35.5
2016/01/04 12:30:00,12:30,USD,Low,3-Month Bill Auction,0.215%,,0.260%
2016/01/04 12:30:00,12:30,USD,Low,6-Month Bill Auction,0.500%,,0.550%
2016/01/04 13:00:00,13:00,BRL,Low,Trade Balance (Dec),6.24B,5.60B,1.20B
2016/01/04 16:30:00,16:30,GBP,Medium,CFTC GBP speculative net positions,-31.0K,,-26.7K
2016/01/04 16:30:00,16:30,USD,Low,CFTC Copper speculative net positions,-30.1K,,-30.3K
2016/01/04 16:30:00,16:30,USD,Medium,CFTC Crude Oil speculative net positions,196.4K,,192.9K
2016/01/04 16:30:00,16:30,USD,Medium,CFTC Gold speculative net positions,19.1K,,26.4K
2016/01/04 16:30:00,16:30,USD,Medium,CFTC S&P 500 speculative net positions,-97.2K,,-95.2K
2016/01/04 16:30:00,16:30,USD,Low,CFTC Silver speculative net positions,20.7K,,23.4K
2016/01/04 16:30:00,16:30,CAD,Low,CFTC CAD speculative net positions,-60.8K,,-56.0K
2016/01/04 16:30:00,16:30,CHF,Low,CFTC CHF speculative net positions,3.6K,,2.8K
2016/01/04 16:30:00,16:30,AUD,Medium,CFTC AUD speculative net positions,-17.5K,,-20.9K
2016/01/04 16:30:00,16:30,JPY,Medium,CFTC JPY speculative net positions,-17.2K,,-30.4K
2016/01/04 16:30:00,16:30,NZD,Low,CFTC NZD speculative net positions,-0.1K,,-0.2K
2016/01/04 16:30:00,16:30,RUB,Medium,CFTC RUB speculative positions,-0.8K,,-0.8K
2016/01/04 16:30:00,16:30,EUR,Medium,CFTC EUR speculative net positions,-160.6K,,-161.0K
2016/01/04 18:30:00,18:30,USD,Medium,FOMC Member Williams Speaks,,,
2016/01/04 19:00:00,19:00,KRW,Low,Current Account (Nov),6.75B,,7.35B
2016/01/04 19:50:00,19:50,JPY,Low,Monetary Base (YoY),29.5%,33.2%,32.5%
2016/01/04 23:45:00,23:45,JPY,Medium,10-Year JGB Auction,0.254%,,0.320%
2016/01/05 03:30:00,03:30,GBP,Medium,Investing.com GBP/USD Index,43.5%,,38.1%
2016/01/05 03:30:00,03:30,USD,Medium,Investing.com Gold Index,53.1%,,58.4%
2016/01/05 03:30:00,03:30,CAD,Medium,Investing.com USD/CAD Index,51.8%,,48.0%
2016/01/05 03:30:00,03:30,CHF,Medium,Investing.com USD/CHF Index,48.0%,,49.9%
2016/01/05 03:30:00,03:30,AUD,Medium,Investing.com AUD/USD Index,39.9%,,32.8%
2016/01/05 03:30:00,03:30,JPY,Medium,Investing.com USD/JPY Index,50.0%,,57.3%
2016/01/05 03:30:00,03:30,NZD,Medium,Investing.com NZD/USD Index,36.9%,,35.0%
2016/01/05 03:30:00,03:30,EUR,Medium,Investing.com EUR/USD Index,30.0%,,24.0%
2016/01/05 04:00:00,04:00,EUR,Medium,Spanish Unemployment Change,-55.8K,-52.6K,-27.1K
2016/01/05 04:55:00,04:55,EUR,Medium,German Unemployment Change (Dec),-14K,-6K,-14K
2016/01/05 04:55:00,04:55,EUR,Medium,German Unemployment Rate (Dec),6.3%,6.3%,6.3%
2016/01/05 04:55:00,04:55,EUR,Low,German Unemployment (Dec),2.800M,,2.800M
2016/01/05 04:55:00,04:55,EUR,Low,German Unemployment n.s.a. (Dec),2.700M,2.700M,2.633M
2016/01/05 06:00:00,06:00,EUR,Low,Italian CPI (YoY) (Dec),0.1%,0.2%,0.1%
2016/01/05 06:00:00,06:00,EUR,Low,Italian CPI (MoM) (Dec),0.0%,0.1%,-0.4%
2016/01/05 06:00:00,06:00,EUR,Low,Italian HICP (YoY) (Dec),0.1%,0.4%,0.2%
2016/01/05 06:00:00,06:00,EUR,Low,Italian HICP (MoM) (Dec),-0.1%,0.2%,-0.4%
2016/01/05 06:00:00,06:00,EUR,Medium,Core CPI (YoY),0.9%,1.0%,0.9%
2016/01/05 06:00:00,06:00,EUR,High,CPI (YoY) (Dec),0.2%,0.3%,0.2%
2016/01/05 06:35:00,06:35,GBP,Low,10-Year Treasury Gilt Auction,1.880%,,1.940%
2016/01/05 09:30:00,09:30,CAD,Low,IPPI (YoY) (Nov),-0.2%,,-0.4%
2016/01/05 09:30:00,09:30,CAD,Low,IPPI (MoM) (Nov),-0.2%,0.1%,-0.5%
2016/01/05 09:30:00,09:30,CAD,Low,RMPI (YoY) (Nov),-16.3%,,-17.9%
2016/01/05 09:30:00,09:30,CAD,Medium,RMPI (MoM) (Nov),-4.0%,-3.0%,0.0%
2016/01/05 09:55:00,09:55,USD,Low,Redbook (YoY),2.9%,,2.5%
2016/01/05 09:55:00,09:55,USD,Low,Redbook (MoM),-0.3%,,-0.5%
2016/01/05 10:10:00,10:10,NZD,Low,GlobalDairyTrade Price Index,-1.6%,,1.9%
2016/01/05 10:45:00,10:45,USD,Low,ISM-New York Index (Dec),716.6,,710.6
2016/01/05 12:30:00,12:30,USD,Low,4-Week Bill Auction,0.200%,,0.170%
2016/01/05 12:30:00,12:30,USD,Low,52-Week Bill Auction,0.670%,,0.740%
2016/01/05 14:30:00,14:30,USD,Low,All Truck Sales (Dec),9.94M,,10.38M
